EL1: Electronic Ladder,A1: RT,B1: MaP-RT
0,0,1.895684
0,0,2.726436
0,0,3.215496
0,0,3.53615
0,0,2.773726
0,0,2.215983
0,0,1.946171
0,0,1.434551
0,0,1.444411
0,0,1.451799
0,0,1.891234
0,0,1.574022
0,0,1.732114
0,1.021487,2.123164
0,4.299046,1.877206
0,3.557644,1.764882
0,2.534451,1.754223
0,1.613569,1.324881
0,1.349216,0.4496552
0,1.088992,2.867028E-14
0,1.725751,0.3842452
0,1.294896,0.4812708
0,1.562148,1.396236
0,1.405412,2.342904
0,1.623458,3.229763
0,1.727553,3.159391
0,1.266715,2.504568
0,1.074245,1.927866
0,0.7833692,1.531584
0,0.9031481,1.083156
0,1.171811,0.7327501
0,1.477074,0.873799
0,1.560816,1.069605
0,0.374132,0.7011981
0.2588824,0.3328798,0.9342865
3.151757,0.2808439,1.430258
2.387134,0.2533587,1.37564
2.279542,0.599669,1.208094
2.26863,1.416814,1.47507
2.440574,1.664524,1.892619
2.069977,0.8320546,2.465976
1.592453,1.384738,2.53161
1.446102,1.221557,3.071734
1.122415,1.919866,3.318082
0.8626081,2.20645,3.641946
1.286999,2.98279,3.656205
0.6684486,2.772222,3.615054
0.1376522,2.137975,3.524794
1.172998,2.044863,2.785379
2.166949,1.646952,2.446665
1.992261,2.389712,2.645022
2.529883,2.750524,2.983852
2.84238,3.50126,3.635219
2.471285,4.190516,3.929264
2.320466,4.443676,4.408455
2.064981,3.930519,4.767372
1.102978,3.322855,5.393501
0.5344045,2.343706,5.579562
0.2519679,2.045651,4.970551
0.4329904,3.409499,5.015395
0.375576,4.687749,5.208762
0.7575169,5.569415,5.991746
0.7737603,5.72532,6.395145
0.2694563,5.81293,7.199484
0.03056533,5.622864,8.228469
0.3578767,5.630246,8.769143
0.7033559,6.113988,9.465593
1.579044,6.638062,10.21133
2.32071,6.696185,11.41916
2.950224,6.87499,11.73846
3.464483,8.098596,13.15624
4.557166,9.920427,16.05121
5.717152,11.35706,19.60124
7.287486,13.00609,22.89226
10.4692,14.61531,26.8829
14.7602,16.65885,31.13372
20.55191,19.77649,36.22274
27.7206,23.68118,43.23872
36.07933,28.74143,52.85764
45.71934,35.391,63.95515
56.66132,44.27348,77.2159
71.44839,54.02601,93.67615
88.85204,67.278,112.8804
110.6609,82.60506,134.915
135.5279,100.4192,159.8951
165.5821,121.2319,189.8084
198.5816,147.6979,224.2762
235.9957,178.5648,260.8021
279.4512,214.3521,300.9297
328.4946,259.548,347.8448
382.4092,310.0742,401.3598
441.3119,364.36,461.2771
505.0765,425.6912,526.4889
571.6174,492.6317,593.3558
638.367,561.0683,659.1302
706.1789,634.9138,725.3136
767.7487,715.2916,797.28
829.1092,801.1277,871.7772
892.0231,890.1154,946.604
955.201,980.3599,1019.353
1021.251,1064.808,1087.961
1080.399,1139.258,1147.532
1130.524,1211.234,1202.485
1173.049,1276.269,1251.661
1210.134,1332.007,1293.819
1241.454,1381.983,1327.706
1266.141,1421.683,1349.042
1281.336,1444.295,1364.822
1280.326,1451.24,1370.599
1272.266,1449.493,1363.571
1257.952,1426.447,1347.954
1235.567,1391.64,1323.269
1208.294,1355.482,1293.399
1170.759,1311.536,1252.286
1125.518,1262.168,1201
1073.425,1206.901,1145.831
1021.996,1139.49,1081.679
968.6837,1064.127,1016.024
913.2307,986.308,945.9169
857.4514,913.346,875.0428
801.203,836.7457,805.4222
748.843,765.4781,731.7996
694.7668,692.1107,660.9301
642.0506,620.2282,593.1726
588.9643,550.4831,531.5383
538.4634,487.0398,470.9802
490.0274,430.7309,415.7021
445.5099,379.3018,365.3236
404.3232,334.6083,321.1843
365.8541,293.7219,283.5166
331.0037,258.3719,250.65
299.7623,225.7244,224.2796
271.8374,198.4047,201.0223
246.0463,175.1811,179.9522
223.5635,155.7962,161.4739
203.6986,139.4558,146.1166
186.4883,124.5302,133.0192
171.518,111.0027,121.1629
157.4528,99.28468,110.6419
145.3089,88.26986,101.0685
134.3732,78.77292,91.98366
123.732,70.631,84.64834
113.7317,63.28546,78.93968
105.3761,57.19479,73.883
97.85726,51.82021,69.03376
91.32284,46.84954,64.34624
84.79733,42.01384,59.76091
79.00802,37.65541,55.05533
72.58146,34.15321,51.63935
66.92933,30.33434,49.17159
62.18938,27.29221,45.98125
57.81656,24.32775,42.81804
52.90334,21.15392,40.31958
48.31885,18.80075,37.52411
44.98468,16.62031,34.87229
41.9765,14.86587,33.2994
39.63171,13.72575,31.94201
37.61033,12.65591,30.42056
34.72872,11.72544,28.99594
30.96472,10.81203,28.3269
27.20804,9.786234,27.94026
25.13426,8.750376,26.86269
23.24246,7.844338,26.24636
21.8576,7.099003,24.42204
20.93119,6.569001,22.78701
19.01236,6.440346,21.88309
17.18057,6.444064,20.83839
15.31245,6.032324,20.48249
14.65904,5.311763,20.36404
13.92833,4.616309,20.23056
13.17121,3.983463,19.59597
12.97635,3.351496,19.42438
12.65219,2.936975,19.02758
11.46729,2.830732,18.33268
9.940373,3.143777,17.5983
9.435465,2.695468,18.16768
8.393463,2.114223,18.97595
7.730239,1.871694,18.85937
7.354624,1.953497,19.07458
6.591222,1.857325,18.64236
5.569711,1.726362,17.96735
5.134919,1.480812,16.98035
5.305371,0.7332476,16.76373
5.255159,0.2946391,16.82709
4.918664,0.2421655,16.80292
4.298412,0.2811392,16.63386
3.44312,0.8878443,16.82104
2.644036,1.181036,16.94422
2.759389,1.286197,16.85772
2.854925,0.6309396,16.50473
3.334495,0.6356105,16.1933
3.875963,0.9322511,15.99155
4.317096,1.025756,15.64065
4.105534,1.240167,15.14726
4.037054,1.107195,14.41159
4.729577,1.258908,13.90631
5.035861,1.422393,13.38019
6.082286,1.673793,13.09863
7.887532,2.191888,13.15436
11.35135,2.088105,13.48642
15.99144,1.575546,13.50174
22.2206,1.746991,13.32698
30.32913,2.688653,12.97461
41.5482,3.73847,12.29829
57.39781,4.222974,11.49494
81.61704,4.604918,11.11275
113.3038,4.885571,11.16597
154.787,4.94676,11.43816
206.4607,5.599459,10.74522
275.0725,6.774913,10.21956
355.8177,7.245719,9.844517
450.0416,7.396373,9.101051
554.0459,7.022058,8.575723
660.5037,7.238681,8.595282
763.2296,7.185041,9.173524
864.2911,6.807459,9.642397
956.8799,7.256386,9.998786
1031.898,6.916689,10.32004
1080.723,7.182407,9.758957
1106.195,7.48508,8.998449
1100.111,7.715367,8.394237
1062.296,7.211747,7.895359
996.517,6.397295,7.669168
906.713,5.733546,7.57573
795.9549,5.252002,7.340533
674.9606,5.647077,6.739067
556.9944,6.079228,6.273578
446.693,6.223107,5.914581
346.702,5.940881,6.00936
265.6448,5.256717,5.921168
200.2237,5.154529,5.722209
151.4004,5.121316,5.921364
115.7418,5.163439,5.766093
91.86302,4.639745,5.783121
74.3667,4.095775,5.173891
63.74794,3.579117,5.064306
56.24147,2.952088,4.81198
51.03796,2.939477,4.416175
47.55177,3.352116,4.592904
45.53395,3.203737,5.149819
43.0823,2.910692,5.754974
40.84527,2.596216,5.97093
38.59587,2.036254,5.908094
35.47518,1.124739,5.89719
32.35783,0.757991,5.803892
30.04989,0.8353132,5.018062
28.54156,0.9542603,5.158243
26.50611,1.358458,4.704237
24.06463,1.859928,4.306969
21.99702,1.523157,4.019194
19.40947,0.8215043,3.949696
17.40509,0.08471346,4.201537
16.03198,0,4.13211
14.0304,0.0829948,4.056368
11.71171,0.06798171,3.732862
8.973277,0.6269511,3.23785
8.082124,0.7287996,2.618543
7.086301,0.6738058,2.163321
6.950706,0.3094411,2.351678
6.185293,0.002549726,2.927608
5.594789,0.1470013,3.362974
4.762113,0,3.55803
3.76668,0,3.568037
3.342154,0.08557097,3.395275
2.51744,0.2614143,2.823797
2.046295,0.08872688,2.75169
1.104227,0.750021,2.770115
1.051628,1.568315,2.524636
1.317783,1.739108,2.070354
1.211333,1.409423,1.440443
1.406448,1.15838,1.186052
1.798693,1.02701,1.134607
1.587986,0.2414417,1.210076
1.503236,0.1864666,1.064281
1.40524,0.2385597,1.227396
0.8484548,0.2526504,1.277481
0.02696943,0.7045622,1.302891
0.04547786,1.173755,1.377641
0,1.347516,1.475395
0,1.337004,1.42432
0.008528131,1.266536,0.9515762
0.3783427,1.141813,0.7124923
0.7357793,1.083377,0.9280475
0.6607769,1.198936,1.282737
0.3031012,0.760775,1.789793
0.1531904,0.2617301,1.796346
0.07519477,0,1.364347
0.5104658,0.4099544,0.904575
0.6017055,0.8768039,0.409283
0.62137,1.229697,0.4094792
0.3541838,1.495394,0.808566
0.8905603,1.274987,1.412759
1.967771,0.6694273,2.008983
4.152741,0.3772351,2.339986
5.755696,0.364984,2.327238
7.653821,0.6575678,2.177556
10.48581,0.6575587,1.811027
15.20991,0.7804074,1.553544
