EL1: Electronic Ladder,A1: RELIB_PCR2_100,B1: RELIB_PCR2_50,C1: RELIB_PCR2_10
0,0.8551659,0.4893388,0.9588522
0,1.211027,0.2567419,0.8673692
0,1.515695,0.02464719,0.7523525
0,1.587493,0.1155566,0.6837492
0,1.576594,0.4269522,0.5488077
0,1.569433,0.8604119,0.416633
0,1.50826,0.9769027,0.5410403
0,1.516904,1.004749,0.7700303
0,1.557703,1.193416,0.964762
0,1.541442,1.086579,1.170053
0,1.459845,0.7873611,1.194108
0,1.595938,0.8625065,1.035056
0,1.552709,0.897176,0.9354782
0,1.522406,0.7360814,0.7836042
0,1.619388,0.5345874,0.7103156
0,1.227034,0.8383236,0.7417961
0,1.004153,0.880806,0.6905196
0,0.680144,0.7724643,0.5169799
0,0.7736035,1.0532,0.448066
0,0.8463425,1.439795,0.4773004
0,1.176994,1.828063,0.4870744
0,1.685522,1.719237,0.5266948
0,1.681862,1.798144,0.5881848
0,1.233217,1.410465,0.3314989
0,0.8656303,1.222067,0.1774714
0,0.478171,0.9265091,0.02735515
0,0.01072425,0.9886392,0.001050581
0,0.117616,1.049628,0.05022466
0,0.4260917,0.56913,0.1946639
0,0.9297146,0.3973607,0.4234008
0,0.9943231,0.2580492,0.203515
0,0.8827148,0.2652752,0.3945102
0,0.8411683,0.133865,0.5212756
0,0.6669219,0.2287499,0.657886
0.2588824,0.6409685,0.4348209,0.7867829
3.151757,0.7289681,0.3639314,0.6626844
2.387134,0.9982525,0.5656641,0.6044757
2.279542,1.134807,0.7478996,0.5547923
2.26863,1.042786,0.9423569,0.6683408
2.440574,1.08339,1.084703,0.7957941
2.069977,1.02523,1.168577,0.8399071
1.592453,1.107699,1.109908,0.8627636
1.446102,1.422524,1.083158,0.5924459
1.122415,1.352572,1.074556,0.504257
0.8626081,1.24539,1.067683,0.3215733
1.286999,1.131263,1.217079,0.242234
0.6684486,1.016299,1.331954,0.5487154
0.1376522,0.8481086,1.483961,0.9346977
1.172998,1.154226,1.414851,1.029589
2.166949,1.559369,1.324981,1.24004
1.992261,1.61463,1.089985,1.452352
2.529883,1.585603,1.136042,1.54491
2.84238,1.718401,0.956484,1.528519
2.471285,1.706343,0.8821234,1.722169
2.320466,1.684524,1.070111,1.887536
2.064981,1.881711,1.237547,1.735947
1.102978,2.176275,1.489846,1.826282
0.5344045,2.264169,1.732215,1.939829
0.2519679,2.305803,2.394023,2.288588
0.4329904,2.239693,2.639606,2.644706
0.375576,2.260047,2.793938,3.001337
0.7575169,2.454546,3.171384,3.131225
0.7737603,2.78689,3.385203,3.063251
0.2694563,3.146502,3.14619,3.349402
0.03056533,3.456052,2.799282,3.321945
0.3578767,3.847739,2.564926,3.413891
0.7033559,4.150742,2.777974,3.777533
1.579044,4.65682,3.43304,4.441594
2.32071,5.19164,4.51974,5.549054
2.950224,5.823905,6.160349,6.723999
3.464483,6.698782,7.637656,8.317327
4.557166,7.744991,9.415234,10.09452
5.717152,9.189139,11.36608,12.20313
7.287486,11.38253,14.19293,15.0233
10.4692,14.32762,18.25574,18.67925
14.7602,18.1778,22.79439,23.69044
20.55191,23.07903,28.86276,29.74342
27.7206,29.59294,36.41348,36.50261
36.07933,38.047,45.95549,45.42979
45.71934,48.20853,57.98342,56.40141
56.66132,60.52093,73.72221,69.48222
71.44839,75.18893,92.47919,84.91331
88.85204,92.97565,113.9737,103.3981
110.6609,114.7738,138.5275,125.4988
135.5279,140.3362,166.2097,150.3675
165.5821,170.7351,198.0771,179.1035
198.5816,205.6814,234.1144,211.9706
235.9957,243.318,275.4862,251.7798
279.4512,284.9249,322.8691,295.9399
328.4946,334.339,375.7669,344.0414
382.4092,389.4151,433.7562,396.4752
441.3119,451.0787,497.4176,452.5377
505.0765,515.2803,564.1677,512.87
571.6174,584.8579,632.6295,577.3417
638.367,659.2174,704.7238,646.8804
706.1789,733.1675,778.5394,717.9827
767.7487,810.581,853.2428,790.5891
829.1092,887.0934,931.3416,862.5252
892.0231,963.501,1006.148,933.0763
955.201,1038.168,1077.968,1005.74
1021.251,1108.388,1146.018,1079.044
1080.399,1175.074,1204.522,1150.941
1130.524,1234.995,1259.714,1214.558
1173.049,1287.039,1306.28,1271.025
1210.134,1330.722,1347.006,1320.608
1241.454,1365.849,1375.357,1358.372
1266.141,1392.024,1397.22,1385.532
1281.336,1402.765,1408.7,1398.676
1280.326,1404.39,1415.543,1404.412
1272.266,1400.277,1408.715,1402.338
1257.952,1389.418,1396.472,1394.71
1235.567,1373.979,1378.083,1388.147
1208.294,1351.483,1348.948,1376.167
1170.759,1321.664,1317.578,1360.08
1125.518,1281.547,1276.588,1333.378
1073.425,1235.431,1233.417,1296.214
1021.996,1187.209,1184.182,1253.171
968.6837,1133.389,1126.123,1205.094
913.2307,1073.182,1065.841,1153.621
857.4514,1011.122,1004.444,1100.012
801.203,945.116,943.6993,1039.602
748.843,876.2827,877.7688,975.515
694.7668,808.9288,813.5053,907.2796
642.0506,742.5904,748.0544,835.3342
588.9643,678.6051,684.2154,761.8165
538.4634,616.6623,619.4188,689.5185
490.0274,556.6174,555.3408,620.4103
445.5099,498.4421,495.0924,551.3798
404.3232,442.407,436.3939,485.7901
365.8541,390.2956,383.6638,425.1731
331.0037,342.1023,333.7016,368.5339
299.7623,298.3754,289.3818,316.32
271.8374,261.1187,249.5103,269.1105
246.0463,227.0352,215.3568,227.7398
223.5635,196.8871,184.1295,192.7888
203.6986,169.4029,158.4465,163.0115
186.4883,146.7729,136.1886,139.3633
171.518,126.7187,117.1279,119.3736
157.4528,110.5272,101.3708,103.5464
145.3089,97.6702,88.74619,91.14883
134.3732,87.11622,78.12156,80.23643
123.732,78.42444,69.62267,71.37404
113.7317,71.30615,62.63644,63.07063
105.3761,64.47315,56.25795,55.76051
97.85726,58.31202,50.6973,49.51902
91.32284,52.46738,45.9858,44.02858
84.79733,47.26785,41.78135,38.92638
79.00802,42.33366,37.54224,34.58464
72.58146,38.63171,33.87043,31.2581
66.92933,35.33467,30.72795,28.47847
62.18938,32.91813,28.11583,26.2629
57.81656,30.60703,25.61225,24.41813
52.90334,28.54705,23.32441,22.69679
48.31885,26.536,21.53734,20.81894
44.98468,24.45706,19.62094,19.26025
41.9765,22.60205,18.17686,17.83227
39.63171,20.98572,16.95067,16.72026
37.61033,19.67097,15.8772,15.87325
34.72872,18.73811,15.02938,15.21524
30.96472,17.63759,14.10912,14.45791
27.20804,16.69027,13.3336,13.97664
25.13426,15.66582,12.90124,13.39482
23.24246,14.51607,12.55439,12.95651
21.8576,13.65472,12.08953,12.5982
20.93119,12.89814,11.54687,12.50813
19.01236,12.38709,11.37435,12.5432
17.18057,11.93877,10.89425,12.73177
15.31245,11.54734,10.3921,13.21808
14.65904,11.24765,10.42754,13.95955
13.92833,10.84533,10.37378,14.75207
13.17121,10.36825,10.33936,15.58802
12.97635,10.03486,10.31918,16.50643
12.65219,9.776008,10.2715,17.39555
11.46729,9.787107,10.23525,18.36916
9.940373,9.393218,10.44604,19.09821
9.435465,9.194645,10.60643,19.63589
8.393463,9.008307,10.81201,19.83015
7.730239,9.179812,11.11793,19.57996
7.354624,9.372385,11.50709,19.08655
6.591222,9.735032,11.5543,18.46215
