A1: Ladder,A2: PTREseq_DNA_UTR,B2: PTREseq_RNA_UTR,C2: ABAB_DNA_UTR,D2: ABAB_RNA_UTR,E2: PTREseq_DNA_FULL,F2: PTREseq_RNA_FULL,G2: ABAB_DNA_FULL,H2: ABAB_RNA_FULL
0.8875883,0.6170356,0.4856038,3.398712,0.280242,0.6877387,0.3729863,1.942869,1.250058
0.6433617,0.7140844,0.474379,4.959567,0.4218695,0.4686808,0.4261015,1.970419,0.98556
0.5323922,0.7782423,0.64955,6.614093,0.4747525,0.3957912,0.2266968,2.110137,0.7574382
0.623328,0.8792427,0.7914659,8.855021,0.7174581,0.4300167,0.06259317,2.169157,0.7470165
0.6224503,0.9578846,0.730297,10.27778,0.8490771,0.5855228,0.1849034,2.187616,0.9147326
0.7342597,0.9289256,0.6363304,9.736826,0.9442884,0.7161362,0.4805999,2.259098,1.022017
0.7993698,0.8019094,0.3915617,9.132478,1.004636,0.6888824,0.450523,2.01027,1.136152
0.7852998,0.8659412,0.1551271,8.598716,0.8465876,0.6866692,0.492036,1.591298,1.254452
0.5581467,0.7519913,0.1202517,10.3907,0.850896,0.4982935,0.4048241,1.51152,1.168199
0.221692,0.8014263,0.1118891,11.39247,0.7661848,0.3802176,0.4151886,1.756632,1.020597
0.06115067,0.8730694,0.1476047,14.20646,0.9021054,0.3762946,0.4028293,1.832855,0.9444289
0.2553523,1.167251,0.2678389,14.05863,0.9263861,0.390764,0.4621859,1.861995,0.9962433
0.7220538,1.342754,0.3621905,11.62976,0.9383922,0.426584,0.3920603,1.974052,0.9879666
1.269505,1.507454,0.5000114,10.07504,0.9849573,0.4540859,0.437379,1.954789,0.9939616
1.518002,1.330223,0.5236186,7.508581,0.8494306,0.5283088,0.3129459,1.713976,0.9371038
1.438433,0.9514647,0.514784,6.072154,0.6268391,0.5451186,0.3006316,1.839103,0.8452869
1.00687,0.9455641,0.5798914,6.018327,0.4967988,0.5117903,0.2894129,2.092564,0.7329531
0.5236675,0.8730187,0.426052,8.100122,0.3683019,0.515723,0.3927662,2.139453,0.6071354
7.799896E-05,0.8939,0.4876713,8.026811,0.263178,0.5397488,0.3103503,2.285257,0.4897393
0.08889092,1.144756,0.4926481,7.856888,0.3478126,0.4447851,0.09115881,2.281951,0.4207437
0.2109042,1.08578,0.5774944,8.434076,0.5374001,0.4301289,0.03924857,2.346175,0.2820386
0.4685048,0.8757116,0.4504578,8.389265,0.5777882,0.3711506,0.04075238,2.154911,0.2054106
0.4998831,0.5858542,0.2504802,8.738303,0.7769032,0.3624499,0.07269592,2.009022,0.1284436
0.520717,0.5292031,0.3255924,10.49082,0.7756757,0.408033,0.1089522,1.949434,0.1947274
0.3971337,0.7621949,0.3370866,9.67625,0.6640016,0.4370306,0.1256104,2.036074,0.2990151
0.1454251,0.998118,0.2624909,9.77349,0.4836863,0.6683999,0.1440665,2.22861,0.3883175
0.04386764,1.175932,0.3966686,7.79916,0.4858404,0.8194007,0.09768565,2.353471,0.4892823
0.3304342,1.243573,0.7614499,7.346789,0.4696833,0.8936654,0.02327636,2.272865,0.5646899
0.5185193,1.147659,0.7475433,7.451557,0.5156164,0.7067125,0.1768794,2.088785,0.4547176
0.5871343,0.9534495,0.6959638,8.207644,0.7597018,0.4879334,0.2627088,1.979932,0.2577924
0.4507962,1.016935,0.9058549,10.73572,0.8082457,0.308015,0.3035989,1.966775,0.2550323
0.1841607,1.169008,1.02933,7.839926,0.6882185,0.2729956,0.3334571,2.106727,0.1513789
0.02144131,1.322331,0.7791978,8.592865,0.5719032,0.431602,0.2978595,2.218626,0.08360326
