reporter	best_category	count
-1	blank_mispriming	127851
-1	RT_error	1220134
-1	unidentifiable_barcode	9112
6merx1_1	spacer_not_cloned	4
6merx1_1	PCR_chimera	1230
6merx1_1	full_length	50
6merx1_10	spacer_not_cloned	1
6merx1_10	PCR_chimera	57
6merx1_10	full_length	17
6merx1_10	ambiguous_deletion	12
6merx1_2	full_length	20
6merx1_2	ambiguous_deletion	7
6merx1_2	PCR_chimera	5
6merx1_2	spacer_not_cloned	1
6merx1_3	ambiguous_deletion	1
6merx1_3	PCR_chimera	68
6merx1_3	full_length	43
6merx1_4	full_length	6
6merx1_4	spacer_not_cloned	5
6merx1_4	PCR_chimera	96
6merx1_5	PCR_chimera	24
6merx1_5	full_length	3
6merx1_5	spacer_not_cloned	2
6merx1_6	full_length	107
6merx1_6	PCR_chimera	28
6merx1_7	spacer_not_cloned	1
6merx1_7	ambiguous_deletion	2
6merx1_7	full_length	15
6merx1_7	PCR_chimera	6
6merx1_8	PCR_chimera	74
6merx1_8	full_length	60
6merx1_8	ambiguous_deletion	18
6merx1_9	PCR_chimera	181
6merx1_9	full_length	62
6merx1_9	ambiguous_deletion	1
6merx1_9	spacer_not_cloned	1
6merx2_1	spacer_not_cloned	1
6merx2_1	full_length	7
6merx2_1	PCR_chimera	13
6merx2_1	ambiguous_deletion	11
6merx2_10	PCR_chimera	86
6merx2_10	full_length	9
6merx2_2	PCR_chimera	7
6merx2_2	ambiguous_deletion	1
6merx2_3	PCR_chimera	566
6merx2_3	spacer_not_cloned	22
6merx2_3	full_length	7
6merx2_4	splicedambi-TCGACT_203_TTGCCA_214	2
6merx2_4	ambiguous_deletion	2
6merx2_4	PCR_chimera	8
6merx2_4	full_length	15
6merx2_4	spacer_not_cloned	5
6merx2_5	PCR_chimera	23
6merx2_5	full_length	14
6merx2_5	ambiguous_deletion	2
6merx2_5	spacer_not_cloned	1
6merx2_6	PCR_chimera	6
6merx2_6	ambiguous_deletion	3
6merx2_6	full_length	3
