reporter	best_category	count
-1	blank_mispriming	9787
-1	unidentifiable_barcode	2361
6merx1_1	PCR_chimera	352
6merx1_1	full_length	209
6merx1_10	PCR_chimera	275
6merx1_10	full_length	99
6merx1_10	PRE-SPACER_mispriming	2
6merx1_10	ambiguous_deletion	2
6merx1_2	full_length	311
6merx1_2	ambiguous_deletion	94
6merx1_2	PCR_chimera	2
6merx1_2	PRE-SPACER_mispriming	1
6merx1_3	PCR_chimera	367
6merx1_3	full_length	174
6merx1_3	ambiguous_deletion	5
6merx1_4	full_length	336
6merx1_4	PCR_chimera	102
6merx1_4	ambiguous_deletion	6
6merx1_5	full_length	200
6merx1_5	PCR_chimera	15
6merx1_6	full_length	218
6merx1_6	PCR_chimera	2
6merx1_6	ambiguous_deletion	1
6merx1_7	full_length	192
6merx1_8	full_length	341
6merx1_8	PCR_chimera	72
6merx1_8	ambiguous_deletion	39
6merx1_9	full_length	153
6merx1_9	PCR_chimera	136
6merx2_1	full_length	217
6merx2_1	ambiguous_deletion	32
6merx2_1	PCR_chimera	3
6merx2_10	full_length	180
6merx2_10	PCR_chimera	26
6merx2_10	ambiguous_deletion	2
6merx2_2	full_length	143
6merx2_2	PCR_chimera	8
6merx2_2	ambiguous_deletion	7
6merx2_3	PCR_chimera	241
6merx2_3	full_length	221
6merx2_4	full_length	152
6merx2_4	PCR_chimera	31
6merx2_4	ambiguous_deletion	24
6merx2_5	full_length	219
6merx2_5	PCR_chimera	73
6merx2_5	ambiguous_deletion	4
6merx2_6	full_length	112
6merx2_6	PCR_chimera	16
6merx2_6	ambiguous_deletion	11
6merx2_6	PRE-SPACER_mispriming	1
6merx2_7	full_length	365
6merx2_7	PCR_chimera	14
6merx2_7	ambiguous_deletion	7
6merx2_8	full_length	162
6merx2_8	PCR_chimera	18
6merx2_8	ambiguous_deletion	9
6merx2_9	full_length	321
6merx2_9	PCR_chimera	59
6merx2_9	ambiguous_deletion	3
6merx2_9	PRE-SPACER_mispriming	1
6merx4_1	PCR_chimera	21
6merx4_1	ambiguous_deletion	2
6merx4_1	full_length	1
6merx4_10	PCR_chimera	42
6merx4_10	full_length	5
6merx4_10	ambiguous_deletion	2
6merx4_2	PCR_chimera	31
6merx4_3	full_length	60
6merx4_3	PCR_chimera	28
6merx4_3	ambiguous_deletion	6
6merx4_4	PCR_chimera	166
6merx4_4	full_length	60
6merx4_5	PCR_chimera	116
6merx4_5	full_length	15
6merx4_6	PCR_chimera	219
6merx4_6	spliced-ACCTCC_283_GACAGT_309	16
6merx4_7	PCR_chimera	222
6merx4_7	full_length	40
6merx4_8	PCR_chimera	29
6merx4_8	full_length	26
6merx4_8	PRE-SPACER_mispriming	2
6merx4_8	ambiguous_deletion	2
6merx4_9	full_length	82
6merx4_9	PCR_chimera	13
7mera1x1_1	full_length	459
7mera1x1_1	PCR_chimera	170
7mera1x1_1	ambiguous_deletion	8
7mera1x1_10	full_length	373
7mera1x1_10	ambiguous_deletion	27
7mera1x1_10	PCR_chimera	14
7mera1x1_2	full_length	173
7mera1x1_2	PCR_chimera	32
7mera1x1_2	ambiguous_deletion	7
7mera1x1_3	full_length	257
7mera1x1_3	PCR_chimera	144
7mera1x1_4	full_length	400
7mera1x1_4	ambiguous_deletion	140
7mera1x1_4	PCR_chimera	24
7mera1x1_4	PRE-SPACER_mispriming	1
7mera1x1_5	full_length	216
7mera1x1_5	PCR_chimera	2
7mera1x1_6	PCR_chimera	582
7mera1x1_6	full_length	276
7mera1x1_6	ambiguous_deletion	7
7mera1x1_7	full_length	142
7mera1x1_7	PCR_chimera	8
7mera1x1_7	ambiguous_deletion	1
7mera1x1_8	full_length	275
7mera1x1_8	PCR_chimera	4
7mera1x1_8	ambiguous_deletion	2
7mera1x1_9	full_length	156
7mera1x1_9	PCR_chimera	16
7mera1x2_1	full_length	157
7mera1x2_1	PCR_chimera	18
7mera1x2_1	ambiguous_deletion	5
7mera1x2_1	PRE-SPACER_mispriming	1
7mera1x2_10	full_length	235
7mera1x2_10	PCR_chimera	95
7mera1x2_10	ambiguous_deletion	1
7mera1x2_2	full_length	290
7mera1x2_2	PCR_chimera	8
7mera1x2_2	ambiguous_deletion	1
7mera1x2_3	full_length	381
7mera1x2_3	PCR_chimera	12
7mera1x2_4	full_length	154
7mera1x2_4	PCR_chimera	72
7mera1x2_5	full_length	269
7mera1x2_5	ambiguous_deletion	40
7mera1x2_5	PCR_chimera	15
7mera1x2_6	full_length	189
7mera1x2_6	ambiguous_deletion	11
7mera1x2_6	PCR_chimera	7
7mera1x2_7	full_length	135
7mera1x2_7	PCR_chimera	16
7mera1x2_7	ambiguous_deletion	5
7mera1x2_8	full_length	305
7mera1x2_8	PCR_chimera	76
7mera1x2_8	ambiguous_deletion	66
7mera1x2_9	full_length	167
7mera1x2_9	ambiguous_deletion	36
7mera1x2_9	PCR_chimera	9
7mera1x4_1	PCR_chimera	144
7mera1x4_1	full_length	40
7mera1x4_10	PCR_chimera	11
7mera1x4_10	ambiguous_deletion	5
7mera1x4_2	PCR_chimera	4
7mera1x4_2	full_length	4
7mera1x4_3	PCR_chimera	177
7mera1x4_3	full_length	61
7mera1x4_3	ambiguous_deletion	9
7mera1x4_4	PCR_chimera	91
7mera1x4_4	full_length	30
7mera1x4_5	PCR_chimera	63
7mera1x4_5	full_length	9
7mera1x4_6	PCR_chimera	107
7mera1x4_7	full_length	44
7mera1x4_7	ambiguous_deletion	4
7mera1x4_8	PCR_chimera	5
7mera1x4_9	PCR_chimera	140
7mera1x4_9	full_length	10
7mera1x4_9	ambiguous_deletion	1
7merm8x1_1	full_length	255
7merm8x1_1	PCR_chimera	20
7merm8x1_1	ambiguous_deletion	18
7merm8x1_10	full_length	332
7merm8x1_10	ambiguous_deletion	5
7merm8x1_10	PCR_chimera	2
7merm8x1_2	full_length	334
7merm8x1_2	PCR_chimera	45
7merm8x1_2	ambiguous_deletion	25
7merm8x1_3	full_length	227
7merm8x1_3	PCR_chimera	143
7merm8x1_4	full_length	199
7merm8x1_4	ambiguous_deletion	83
7merm8x1_4	PCR_chimera	40
7merm8x1_4	PRE-SPACER_mispriming	1
7merm8x1_5	PCR_chimera	658
7merm8x1_5	full_length	240
7merm8x1_5	ambiguous_deletion	48
7merm8x1_6	full_length	118
7merm8x1_6	PCR_chimera	40
7merm8x1_6	ambiguous_deletion	11
7merm8x1_7	PCR_chimera	472
7merm8x1_7	full_length	247
7merm8x1_7	ambiguous_deletion	38
7merm8x1_8	full_length	123
7merm8x1_8	PCR_chimera	8
7merm8x1_9	full_length	123
7merm8x1_9	PCR_chimera	4
7merm8x2_1	full_length	224
7merm8x2_1	PCR_chimera	89
7merm8x2_1	ambiguous_deletion	1
7merm8x2_10	full_length	135
7merm8x2_10	PCR_chimera	27
7merm8x2_10	ambiguous_deletion	11
7merm8x2_2	full_length	180
7merm8x2_2	ambiguous_deletion	17
7merm8x2_2	PCR_chimera	12
7merm8x2_2	PRE-SPACER_mispriming	1
7merm8x2_3	full_length	226
7merm8x2_3	PCR_chimera	3
7merm8x2_4	full_length	247
7merm8x2_4	PCR_chimera	34
7merm8x2_5	PCR_chimera	198
7merm8x2_5	full_length	120
7merm8x2_5	ambiguous_deletion	1
7merm8x2_6	PCR_chimera	207
7merm8x2_6	full_length	129
7merm8x2_7	full_length	107
