RE	best_category	fraction
ALAB	GTACAA_132_CCTCGA_261	0.000866769146004687
6merx1	full_length	1.0
6merx2	full_length	1.0
6merx4	full_length	1.0
7mera1x1	full_length	1.0
7mera1x2	full_length	1.0
7mera1x4	full_length	1.0
7merm8x1	full_length	1.0
7merm8x2	full_length	1.0
7merm8x4	full_length	1.0
7pcx1	full_length	1.0
7pcx2	full_length	1.0
7pcx4	full_length	1.0
AAAA	full_length	1.0
AAAB	full_length	1.0
AAAL	full_length	1.0
AAAS	full_length	1.0
AAAp	full_length	1.0
AABA	full_length	1.0
AABB	full_length	1.0
AABL	full_length	1.0
AABS	full_length	1.0
AABp	full_length	1.0
AALA	full_length	1.0
AALB	full_length	1.0
AALL	full_length	1.0
AALS	full_length	1.0
AALp	full_length	1.0
AASA	full_length	1.0
AASB	full_length	1.0
AASL	full_length	1.0
AASS	full_length	1.0
AASp	full_length	1.0
AApA	full_length	1.0
AApB	full_length	1.0
AApL	full_length	1.0
AApS	full_length	1.0
AApp	full_length	1.0
ABAA	full_length	1.0
ABAB	full_length	1.0
ABAL	full_length	1.0
ABAS	full_length	1.0
ABAp	full_length	1.0
ABBA	full_length	1.0
ABBB	full_length	1.0
ABBL	full_length	1.0
ABBS	full_length	1.0
ABBp	full_length	1.0
ABLA	full_length	1.0
ABLB	full_length	1.0
ABLL	full_length	1.0
ABLS	full_length	1.0
ABLp	full_length	1.0
ABSA	full_length	1.0
ABSB	full_length	1.0
ABSL	full_length	1.0
ABSS	full_length	1.0
ABSp	full_length	1.0
ABpA	full_length	1.0
ABpB	full_length	1.0
ABpL	full_length	1.0
ABpS	full_length	1.0
ABpp	full_length	1.0
ALAA	full_length	1.0
ALAB	full_length	0.9995666154269977
ALAL	full_length	1.0
ALAS	full_length	1.0
ALAp	full_length	1.0
ALBA	full_length	1.0
ALBB	full_length	1.0
ALBL	full_length	1.0
ALBS	full_length	1.0
ALBp	full_length	1.0
ALLA	full_length	1.0
ALLB	full_length	1.0
ALLL	full_length	1.0
ALLS	full_length	1.0
ALLp	full_length	1.0
ALSA	full_length	1.0
ALSB	full_length	1.0
ALSL	full_length	1.0
ALSS	full_length	1.0
ALSp	full_length	1.0
ALpA	full_length	1.0
ALpB	full_length	1.0
ALpL	full_length	1.0
ALpS	full_length	1.0
ALpp	full_length	1.0
ASAA	full_length	1.0
ASAB	full_length	1.0
ASAL	full_length	1.0
ASAS	full_length	1.0
ASAp	full_length	1.0
ASBA	full_length	1.0
ASBB	full_length	1.0
