RE	best_category	fraction
7mera1x4	ACCTCA_250_TCGCAA_284	0.002284289886449008
Dna2	ACCTCA_250_TCGCAA_284	0.0037307343665332737
FIGNL2	ACCTCA_250_TCGCAA_284	0.007169886986034069
LLLL	ACCTCA_250_TCGCAA_284	0.0027972082687823733
pAAL	CGACTT_171_ACTATA_262	0.7752624745129371
pBAL	CGACTT_171_ACTATA_262	0.13094059197288313
pLAL	CGACTT_171_ACTATA_262	0.10676068142834866
pSAL	CGACTT_171_ACTATA_262	0.03311105654512399
ppAL	CGACTT_171_ACTATA_262	0.11445047279744192
pAAS	CGACTT_171_AGGCTC_265	0.5408546884583918
pBAS	CGACTT_171_AGGCTC_265	0.09392720736478355
pLAS	CGACTT_171_AGGCTC_265	0.1154624588182317
pSAS	CGACTT_171_AGGCTC_265	0.004514196983141082
ppAS	CGACTT_171_AGGCTC_265	0.13301171356184605
pAAS	CGACTT_171_CAGAGG_262	0.3584874539072515
pBAS	CGACTT_171_CAGAGG_262	0.10064644709671935
pLAS	CGACTT_171_CAGAGG_262	0.06468226238183403
pSAS	CGACTT_171_CAGAGG_262	0.0032631900559238263
ppAS	CGACTT_171_CAGAGG_262	0.04992115924681184
pAAB	CGACTT_171_CCTCGA_261	0.9621478188690673
pABB	CGACTT_171_CCTCGA_261	0.00034331953387368454
pBAB	CGACTT_171_CCTCGA_261	0.8198024377998637
pBLB	CGACTT_171_CCTCGA_261	0.00028450322665004966
pLAB	CGACTT_171_CCTCGA_261	0.5353630457438727
pSAB	CGACTT_171_CCTCGA_261	0.23339576406936674
pSLB	CGACTT_171_CCTCGA_261	0.0005847953216374269
ppAB	CGACTT_171_CCTCGA_261	0.6808909894341826
ppBB	CGACTT_171_CCTCGA_261	0.00014671361502347418
pAAp	CGACTT_171_CTCCGA_261	0.9522735052253466
pBAp	CGACTT_171_CTCCGA_261	0.6963363910941366
pBSp	CGACTT_171_CTCCGA_261	0.0001886080724254998
pLAp	CGACTT_171_CTCCGA_261	0.4045283765045038
pSAp	CGACTT_171_CTCCGA_261	0.18831866716535017
ppAp	CGACTT_171_CTCCGA_261	0.5866536285909603
pAAA	CGACTT_171_CTCCGA_319	0.9116915784820817
pABA	CGACTT_171_CTCCGA_319	0.5128625835935807
pALA	CGACTT_171_CTCCGA_319	0.5793449525755292
pASA	CGACTT_171_CTCCGA_319	0.16440019605700829
pApA	CGACTT_171_CTCCGA_319	0.6711100054731048
pBAA	CGACTT_171_CTCCGA_319	0.18842710120409412
pBSA	CGACTT_171_CTCCGA_319	0.022122720411243933
pBpA	CGACTT_171_CTCCGA_319	0.00040064102564102563
pLAA	CGACTT_171_CTCCGA_319	0.11378540376002495
pSAA	CGACTT_171_CTCCGA_319	0.14092141296796484
ppAA	CGACTT_171_CTCCGA_319	0.06281746031746031
ppLA	CGACTT_171_CTCCGA_319	0.016432926829268293
ppSA	CGACTT_171_CTCCGA_319	0.004181364536530588
pAAB	CGACTT_171_TTGCCA_280	0.0025690371714670573
pASB	CGACTT_171_TTGCCA_280	0.03172130572063629
BpAA	CGACTT_204_CTCCGA_319	0.44681532159102794
BpBA	CGACTT_204_CTCCGA_319	0.06527592787207813
BpSA	CGACTT_204_CTCCGA_319	0.0008615738081562321
BppA	CGACTT_204_CTCCGA_319	0.01055662188099808
LpAA	CGACTT_204_CTCCGA_319	0.6000900383272695
LpBA	CGACTT_204_CTCCGA_319	0.00046992481203007516
LppA	CGACTT_204_CTCCGA_319	0.001041429457632176
SpAA	CGACTT_204_CTCCGA_319	0.46031789919257954
ppAA	CGACTT_204_CTCCGA_319	0.5054425781554567
ppBA	CGACTT_204_CTCCGA_319	0.005382772310554961
AALL	CGAGCT_126_ACTATA_229	0.0005988023952095808
SAAL	CGAGCT_126_ACTATA_262	0.00680974907031841
AAAS	CGAGCT_126_AGGCTC_265	0.006002267679299568
ALAS	CGAGCT_126_AGGCTC_265	0.002148997134670487
ApAS	CGAGCT_126_AGGCTC_265	0.0024052069351132026
SAAS	CGAGCT_126_AGGCTC_265	0.0018535681186283596
AABB	CGAGCT_126_CCTCGA_228	0.0033253617122541534
AABL	CGAGCT_126_CCTCGA_228	0.0031693532159972164
AABS	CGAGCT_126_CCTCGA_228	0.005926777022696698
AABp	CGAGCT_126_CCTCGA_228	0.003228145860522398
BABL	CGAGCT_126_CCTCGA_228	0.000536480686695279
LABB	CGAGCT_126_CCTCGA_228	0.0006488312465922508
LABp	CGAGCT_126_CCTCGA_228	0.004748332297997945
SABB	CGAGCT_126_CCTCGA_228	0.0012183027709326043
SABL	CGAGCT_126_CCTCGA_228	0.00044059333235423704
pABL	CGAGCT_126_CCTCGA_228	0.0008129209730335996
AAAB	CGAGCT_126_CCTCGA_261	0.012185948308137247
ABAB	CGAGCT_126_CCTCGA_261	0.005394590208853758
ALAB	CGAGCT_126_CCTCGA_261	0.009152563451455237
ASAB	CGAGCT_126_CCTCGA_261	0.004889802234549469
ApAB	CGAGCT_126_CCTCGA_261	0.00088171805418043
BAAB	CGAGCT_126_CCTCGA_261	0.002799335168910135
LAAB	CGAGCT_126_CCTCGA_261	0.000682666531727095
SAAB	CGAGCT_126_CCTCGA_261	0.01856550969639721
SBAB	CGAGCT_126_CCTCGA_261	0.000177999288002848
SSAB	CGAGCT_126_CCTCGA_261	0.0015368224382983058
SpAB	CGAGCT_126_CCTCGA_261	0.00015649115865932106
AApB	CGAGCT_126_CTCCGA_228	0.0016948919046857126
AApL	CGAGCT_126_CTCCGA_228	0.0015458211134451133
AApS	CGAGCT_126_CTCCGA_228	0.0010277492291880781
AApp	CGAGCT_126_CTCCGA_228	0.0015328541054976208
BApp	CGAGCT_126_CTCCGA_228	0.000640653555975158
pApB	CGAGCT_126_CTCCGA_228	0.002472697966677297
AAAp	CGAGCT_126_CTCCGA_261	0.004232542819499341
ABAp	CGAGCT_126_CTCCGA_261	0.005029997150162306
ALAp	CGAGCT_126_CTCCGA_261	0.006903353381960889
ASAp	CGAGCT_126_CTCCGA_261	0.003241876661703596
ApAp	CGAGCT_126_CTCCGA_261	0.002159664915857183
SAAp	CGAGCT_126_CTCCGA_261	0.020329984181186644
AApA	CGAGCT_126_CTCCGA_319	0.009538015783580014
ApAA	CGAGCT_126_CTCCGA_319	0.0040072013837656704
AALB	GTACAA_132_ACTATA_229	0.7936974050908812
AALL	GTACAA_132_ACTATA_229	0.8204356543675704
AALS	GTACAA_132_ACTATA_229	0.7497263541529722
AALp	GTACAA_132_ACTATA_229	0.8088002908264436
BALB	GTACAA_132_ACTATA_229	0.1862012987012987
BALL	GTACAA_132_ACTATA_229	0.10124291811991776
BALS	GTACAA_132_ACTATA_229	0.039383681102198836
BALp	GTACAA_132_ACTATA_229	0.08677732967940567
LALB	GTACAA_132_ACTATA_229	0.07611577100477387
LALL	GTACAA_132_ACTATA_229	0.07054908348711803
LALS	GTACAA_132_ACTATA_229	0.02903803068276752
LALp	GTACAA_132_ACTATA_229	0.13400111694981462
SALB	GTACAA_132_ACTATA_229	0.015674795164371168
SALL	GTACAA_132_ACTATA_229	0.08720176167152335
SALS	GTACAA_132_ACTATA_229	0.015143221737149631
SALp	GTACAA_132_ACTATA_229	0.023499469561676888
pALB	GTACAA_132_ACTATA_229	0.11342483136377615
pALL	GTACAA_132_ACTATA_229	0.09834620269270417
pALS	GTACAA_132_ACTATA_229	0.05835750714742012
pALp	GTACAA_132_ACTATA_229	0.07717828753800299
pBLB	GTACAA_132_ACTATA_229	0.0015409772989611388
AAAL	GTACAA_132_ACTATA_262	0.8579441574275912
AABL	GTACAA_132_ACTATA_262	4.434196523589925e-05
ABAL	GTACAA_132_ACTATA_262	0.6235676705048503
ALAL	GTACAA_132_ACTATA_262	0.6198349823142076
ASAL	GTACAA_132_ACTATA_262	0.3944570905767144
ApAL	GTACAA_132_ACTATA_262	0.6144824823901637
BAAL	GTACAA_132_ACTATA_262	0.5012322864502716
BLAL	GTACAA_132_ACTATA_262	0.04794215005140106
BSAL	GTACAA_132_ACTATA_262	0.033014566383867815
BpAL	GTACAA_132_ACTATA_262	0.045599205970230705
LAAL	GTACAA_132_ACTATA_262	0.2950402399825564
LBAL	GTACAA_132_ACTATA_262	0.0038123359580052494
LSAL	GTACAA_132_ACTATA_262	0.00672603986029896
LpAL	GTACAA_132_ACTATA_262	0.0005488474204171241
SAAL	GTACAA_132_ACTATA_262	0.6046456940041854
SBAL	GTACAA_132_ACTATA_262	0.01869697927821703
SSAL	GTACAA_132_ACTATA_262	0.0007828810020876827
pLAL	GTACAA_132_ACTATA_262	0.0049504950495049506
pSAL	GTACAA_132_ACTATA_262	0.026146734621310893
AASB	GTACAA_132_AGGCTC_232	0.6933828320250306
AASL	GTACAA_132_AGGCTC_232	0.7293968836482313
AASS	GTACAA_132_AGGCTC_232	0.7376615572011328
AASp	GTACAA_132_AGGCTC_232	0.7396129792675371
BASB	GTACAA_132_AGGCTC_232	0.028449480676788985
BASL	GTACAA_132_AGGCTC_232	0.1567900786882151
BASS	GTACAA_132_AGGCTC_232	0.06030961611061496
BASp	GTACAA_132_AGGCTC_232	0.06274181772298526
LASB	GTACAA_132_AGGCTC_232	0.04431524461873696
LASL	GTACAA_132_AGGCTC_232	0.09043071212567293
LASS	GTACAA_132_AGGCTC_232	0.06006653297144546
LASp	GTACAA_132_AGGCTC_232	0.05540497558634329
SASB	GTACAA_132_AGGCTC_232	0.015607415074288408
SASL	GTACAA_132_AGGCTC_232	0.07591443108001966
SASS	GTACAA_132_AGGCTC_232	0.03469131683976999
SASp	GTACAA_132_AGGCTC_232	0.04777016894820155
pASB	GTACAA_132_AGGCTC_232	0.026108038380394633
pASL	GTACAA_132_AGGCTC_232	0.1661512328941912
pASS	GTACAA_132_AGGCTC_232	0.06876894293210797
pASp	GTACAA_132_AGGCTC_232	0.09307359307359307
AAAS	GTACAA_132_AGGCTC_265	0.8399961959200498
AALS	GTACAA_132_AGGCTC_265	0.0022745730041822325
ABAS	GTACAA_132_AGGCTC_265	0.6753227374948412
ALAS	GTACAA_132_AGGCTC_265	0.6890906904255352
ASAS	GTACAA_132_AGGCTC_265	0.7149637103486373
ApAS	GTACAA_132_AGGCTC_265	0.7608780551308214
BAAS	GTACAA_132_AGGCTC_265	0.4531370064004053
BBAS	GTACAA_132_AGGCTC_265	0.02844634256497343
BBBS	GTACAA_132_AGGCTC_265	0.0005320192722798221
BLAS	GTACAA_132_AGGCTC_265	0.09431003039513677
BLBS	GTACAA_132_AGGCTC_265	0.0004953298175302105
BSAS	GTACAA_132_AGGCTC_265	0.10333561629006115
BSSS	GTACAA_132_AGGCTC_265	0.00034083162917518747
BpAS	GTACAA_132_AGGCTC_265	0.0271781222120918
BpSS	GTACAA_132_AGGCTC_265	0.00017111567419575633
LAAS	GTACAA_132_AGGCTC_265	0.433048394052559
LBAS	GTACAA_132_AGGCTC_265	0.03041031227305737
LLAS	GTACAA_132_AGGCTC_265	0.008026695526695528
LLBS	GTACAA_132_AGGCTC_265	0.00036310820624546115
LSAS	GTACAA_132_AGGCTC_265	0.007744685830495344
LpAS	GTACAA_132_AGGCTC_265	0.012690761564994102
SAAS	GTACAA_132_AGGCTC_265	0.755303173808982
SALS	GTACAA_132_AGGCTC_265	0.0008237232289950577
SBAS	GTACAA_132_AGGCTC_265	0.036946611849254025
SLAS	GTACAA_132_AGGCTC_265	0.05945568330909409
SSAS	GTACAA_132_AGGCTC_265	0.04484624332011893
SpAS	GTACAA_132_AGGCTC_265	0.016905087761442266
pAAS	GTACAA_132_AGGCTC_265	0.004790417459463147
pBAS	GTACAA_132_AGGCTC_265	0.014742617287045522
pBBS	GTACAA_132_AGGCTC_265	0.00024727998135249676
pLAS	GTACAA_132_AGGCTC_265	0.01574074074074074
pSAS	GTACAA_132_AGGCTC_265	0.16605330782857183
ppAS	GTACAA_132_AGGCTC_265	0.05641557656043478
AASB	GTACAA_132_CAGAGG_229	0.09151712058826256
AASL	GTACAA_132_CAGAGG_229	0.10237860077340624
AASS	GTACAA_132_CAGAGG_229	0.156229072960205
AASp	GTACAA_132_CAGAGG_229	0.07963873705849597
BASL	GTACAA_132_CAGAGG_229	0.019822790227201993
BASS	GTACAA_132_CAGAGG_229	0.005649717514124294
BASp	GTACAA_132_CAGAGG_229	0.0007692307692307692
LASB	GTACAA_132_CAGAGG_229	0.007681973619931608
LASL	GTACAA_132_CAGAGG_229	0.03647624066476671
LASS	GTACAA_132_CAGAGG_229	0.005988075669469397
LASp	GTACAA_132_CAGAGG_229	0.0013537906137184115
SASB	GTACAA_132_CAGAGG_229	0.002081165452653486
SASL	GTACAA_132_CAGAGG_229	0.007779013452483961
SASS	GTACAA_132_CAGAGG_229	0.012040838368882712
pASL	GTACAA_132_CAGAGG_229	0.0033528384037272247
pASp	GTACAA_132_CAGAGG_229	0.006528835690968444
AAAS	GTACAA_132_CAGAGG_262	0.11893419338768443
ABAS	GTACAA_132_CAGAGG_262	0.0804129862258453
ALAS	GTACAA_132_CAGAGG_262	0.2035525957360103
ASAS	GTACAA_132_CAGAGG_262	0.120557230746102
ApAS	GTACAA_132_CAGAGG_262	0.10549236949205817
BAAS	GTACAA_132_CAGAGG_262	0.05838032457941664
BBAS	GTACAA_132_CAGAGG_262	0.005812293218490657
BLAS	GTACAA_132_CAGAGG_262	0.001177856301531213
BSAS	GTACAA_132_CAGAGG_262	0.02206199350993609
LAAS	GTACAA_132_CAGAGG_262	0.058983524885876826
SAAS	GTACAA_132_CAGAGG_262	0.10726973824810526
pSAS	GTACAA_132_CAGAGG_262	0.009166073155619027
BBSL	GTACAA_132_CCTCGA_162	0.00013631406761177754
BBpL	GTACAA_132_CCTCGA_162	0.0008089013371615472
BLSp	GTACAA_132_CCTCGA_162	0.00026624068157614486
BSLS	GTACAA_132_CCTCGA_162	0.001075268817204301
BSSL	GTACAA_132_CCTCGA_162	0.00017361618167716477
ABSA	GTACAA_132_CCTCGA_195	0.00041631973355537054
ABpL	GTACAA_132_CCTCGA_195	0.0008485708702172985
BBBS	GTACAA_132_CCTCGA_195	0.0008685093868821293
BBSB	GTACAA_132_CCTCGA_195	0.000847457627118644
BBpL	GTACAA_132_CCTCGA_195	0.0017438099665257351
LBLB	GTACAA_132_CCTCGA_195	0.00048590864917395527
LBSS	GTACAA_132_CCTCGA_195	0.00019252984212552945
LBpL	GTACAA_132_CCTCGA_195	0.0007693619608191031
SBBB	GTACAA_132_CCTCGA_195	0.00024740227610094015
SBSB	GTACAA_132_CCTCGA_195	0.0003403675970047651
pBpA	GTACAA_132_CCTCGA_195	0.0008363630511313225
