RE	best_category	fraction
pAAL	CGACTT_171_ACTATA_262	0.3242727999508025
pBAL	CGACTT_171_ACTATA_262	0.008671171171171171
pAAS	CGACTT_171_AGGCTC_265	0.3558345684642572
pBAS	CGACTT_171_AGGCTC_265	0.0012406947890818859
pAAS	CGACTT_171_CAGAGG_262	0.4286261503583162
pAAB	CGACTT_171_CCTCGA_261	0.9257854028897561
pBAB	CGACTT_171_CCTCGA_261	0.3636867501304121
pLAB	CGACTT_171_CCTCGA_261	0.2090747603442467
pSAB	CGACTT_171_CCTCGA_261	0.1379800521008189
ppAB	CGACTT_171_CCTCGA_261	0.3946894065446478
pAAp	CGACTT_171_CTCCGA_261	0.8224502319079303
pBAp	CGACTT_171_CTCCGA_261	0.22806073005276192
pLAp	CGACTT_171_CTCCGA_261	0.13155429476184194
pSAp	CGACTT_171_CTCCGA_261	0.07071946458449527
ppAp	CGACTT_171_CTCCGA_261	0.26200084961767206
pAAB	CGACTT_171_TTGCCA_280	0.000277727302173721
SAAL	CGAGCT_126_ACTATA_262	0.0022624434389140274
AAAS	CGAGCT_126_AGGCTC_265	0.002119010163618778
AABB	CGAGCT_126_CCTCGA_228	0.0012978522651868733
AABL	CGAGCT_126_CCTCGA_228	0.001956767113412818
AABS	CGAGCT_126_CCTCGA_228	0.0006153305203938116
AABp	CGAGCT_126_CCTCGA_228	0.0010151796943753872
BABB	CGAGCT_126_CCTCGA_228	0.0001461133839859731
pABB	CGAGCT_126_CCTCGA_228	0.0007132667617689016
AAAB	CGAGCT_126_CCTCGA_261	0.005022788967458695
ABAB	CGAGCT_126_CCTCGA_261	0.003485098943825879
ALAB	CGAGCT_126_CCTCGA_261	0.002412564091875443
ASAB	CGAGCT_126_CCTCGA_261	0.002436143949105066
ApAB	CGAGCT_126_CCTCGA_261	0.0024028445784987727
BAAB	CGAGCT_126_CCTCGA_261	0.0006385696040868455
SAAB	CGAGCT_126_CCTCGA_261	0.0137302647081926
AApB	CGAGCT_126_CTCCGA_228	0.001956263949216175
AApL	CGAGCT_126_CTCCGA_228	0.002539798616189458
AApp	CGAGCT_126_CTCCGA_228	0.0013493902631470335
AAAp	CGAGCT_126_CTCCGA_261	0.005668172670691562
ABAp	CGAGCT_126_CTCCGA_261	0.0032796636915210123
ALAp	CGAGCT_126_CTCCGA_261	0.004468488339456081
ASAp	CGAGCT_126_CTCCGA_261	0.0025194236131191967
ApAp	CGAGCT_126_CTCCGA_261	0.0025396196550490123
SAAp	CGAGCT_126_CTCCGA_261	0.01185706102433096
pAAB	GCTAGC_157_CCTCGA_261	0.00024294637879384182
AALB	GTACAA_132_ACTATA_229	0.6302366987850858
AALL	GTACAA_132_ACTATA_229	0.8181823854630774
AALS	GTACAA_132_ACTATA_229	0.32966457023060797
AALp	GTACAA_132_ACTATA_229	0.41609977324263037
BALB	GTACAA_132_ACTATA_229	0.01736732259988074
BALL	GTACAA_132_ACTATA_229	0.012093726379440665
BALp	GTACAA_132_ACTATA_229	0.0034482758620689655
LALB	GTACAA_132_ACTATA_229	0.007342878197705021
pALL	GTACAA_132_ACTATA_229	0.02602019590787035
pALp	GTACAA_132_ACTATA_229	0.0018181818181818182
AAAL	GTACAA_132_ACTATA_262	0.5903928259400293
ABAL	GTACAA_132_ACTATA_262	0.1975664100931767
ALAL	GTACAA_132_ACTATA_262	0.1589255396555906
ASAL	GTACAA_132_ACTATA_262	0.02793370756482224
ApAL	GTACAA_132_ACTATA_262	0.06122671117319449
BAAL	GTACAA_132_ACTATA_262	0.07907125554184377
LAAL	GTACAA_132_ACTATA_262	0.00643670572701766
SAAL	GTACAA_132_ACTATA_262	0.2950268817204301
AASB	GTACAA_132_AGGCTC_232	0.4153972339361217
AASL	GTACAA_132_AGGCTC_232	0.7048008940863179
AASS	GTACAA_132_AGGCTC_232	0.22935291613452533
AASp	GTACAA_132_AGGCTC_232	0.386688008536748
BASL	GTACAA_132_AGGCTC_232	0.02138679125694935
BASp	GTACAA_132_AGGCTC_232	0.0065475025854599325
LASL	GTACAA_132_AGGCTC_232	0.008773272905438511
SASL	GTACAA_132_AGGCTC_232	0.0019230769230769232
SASS	GTACAA_132_AGGCTC_232	0.0016833937628530256
pASL	GTACAA_132_AGGCTC_232	0.0022522522522522522
AAAS	GTACAA_132_AGGCTC_265	0.6342614006997569
ABAS	GTACAA_132_AGGCTC_265	0.04342402560723028
ALAS	GTACAA_132_AGGCTC_265	0.08794372294372294
ASAS	GTACAA_132_AGGCTC_265	0.06368260595818007
ApAS	GTACAA_132_AGGCTC_265	0.11982735365524683
LAAS	GTACAA_132_AGGCTC_265	0.015656262505002
SAAS	GTACAA_132_AGGCTC_265	0.13282167318982388
pSAS	GTACAA_132_AGGCTC_265	0.004975124378109453
AASB	GTACAA_132_CAGAGG_229	0.061757087545854614
AASL	GTACAA_132_CAGAGG_229	0.09867209232388542
AASS	GTACAA_132_CAGAGG_229	0.037356321839080456
AASp	GTACAA_132_CAGAGG_229	0.02170484930996993
AAAS	GTACAA_132_CAGAGG_262	0.14065132512432993
ABAS	GTACAA_132_CAGAGG_262	0.0020242914979757085
ALAS	GTACAA_132_CAGAGG_262	0.00777056277056277
ASAS	GTACAA_132_CAGAGG_262	0.004939080627154022
ApAS	GTACAA_132_CAGAGG_262	0.021187683284457477
LAAS	GTACAA_132_CAGAGG_262	0.0024509803921568627
SAAS	GTACAA_132_CAGAGG_262	0.03338750870675644
pSAS	GTACAA_132_CAGAGG_262	0.0010893246187363835
BBBS	GTACAA_132_CCTCGA_162	0.0014073597073289098
BBSS	GTACAA_132_CCTCGA_162	0.001055727069574745
BpSp	GTACAA_132_CCTCGA_162	0.0005405405405405405
ABBp	GTACAA_132_CCTCGA_195	0.0034026421859121476
ABLB	GTACAA_132_CCTCGA_195	0.0038314176245210726
BBSp	GTACAA_132_CCTCGA_195	0.00040716612377850165
BBpL	GTACAA_132_CCTCGA_195	0.0013812154696132596
SBBp	GTACAA_132_CCTCGA_195	0.000333555703802535
AABB	GTACAA_132_CCTCGA_228	0.9866215843808959
AABL	GTACAA_132_CCTCGA_228	0.966467523075162
AABS	GTACAA_132_CCTCGA_228	0.9102583748350572
AABp	GTACAA_132_CCTCGA_228	0.9816388879696092
BABB	GTACAA_132_CCTCGA_228	0.8243417308210765
BABL	GTACAA_132_CCTCGA_228	0.5195154573365353
BABS	GTACAA_132_CCTCGA_228	0.10501708407546073
BABp	GTACAA_132_CCTCGA_228	0.5682182985553772
LABB	GTACAA_132_CCTCGA_228	0.5480683195942333
LABL	GTACAA_132_CCTCGA_228	0.3635582978182049
LABS	GTACAA_132_CCTCGA_228	0.10862262038073908
LABp	GTACAA_132_CCTCGA_228	0.4451489299144975
LpBB	GTACAA_132_CCTCGA_228	0.0018648368950807243
SABB	GTACAA_132_CCTCGA_228	0.6218343195266272
SABL	GTACAA_132_CCTCGA_228	0.2918055986352357
SABS	GTACAA_132_CCTCGA_228	0.059922472642447946
SABp	GTACAA_132_CCTCGA_228	0.2442631310555839
SBBp	GTACAA_132_CCTCGA_228	0.0007746037592348553
SSBB	GTACAA_132_CCTCGA_228	0.0009006718276592029
SSBS	GTACAA_132_CCTCGA_228	0.00031645569620253165
SpBB	GTACAA_132_CCTCGA_228	0.00033715441672285906
SpBS	GTACAA_132_CCTCGA_228	0.0006014379538813181
pABB	GTACAA_132_CCTCGA_228	0.5442307692307693
pABL	GTACAA_132_CCTCGA_228	0.4100080710250202
pABS	GTACAA_132_CCTCGA_228	0.07197062925588646
pABp	GTACAA_132_CCTCGA_228	0.45247682078338813
pSBB	GTACAA_132_CCTCGA_228	0.000935374149659864
ppBB	GTACAA_132_CCTCGA_228	0.0005512679162072767
AApL	GTACAA_132_CCTCGA_248	0.0011355034065102195
AApp	GTACAA_132_CCTCGA_248	0.001152857323776891
7pcx2	GTACAA_132_CCTCGA_261	0.041666666666666664
AAAB	GTACAA_132_CCTCGA_261	0.9810013016377368
